Date,Département,Marque,Modele,Annee,Km,Cabine,Boîte vitesse,Carburant,Puissance réelle (ch),Prix (TTC),Carrosserie,Coffre,Réhausse,Date installation benne,Mention benne JPM,Garantie (mois),Lien,S1 vendu,S2 vendu,S4 vendu,Modification Prix,Prix initial
16/01/2020,59,Mercedes,Sprinter,2007,199840,SC,Manuelle,Diesel,110,8500,Benne origine,Oui,Oui,NA,NA,0,https://www.leboncoin.fr/utilitaires/1911927396.htm,Non,Oui,Oui,,
16/01/2020,38,Renault,Master,2017,50900,SC,Manuelle,Diesel,130,22990,Benne origine,Oui,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1900439931.htm,Non,Oui,Oui,,
16/01/2020,32,Iveco,Daily,2012,153000,SC,Manuelle,Diesel,130,17880,Benne origine,Non,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1911884015.htm,Non,Oui,Oui,,
16/01/2020,47,Citroen,Jumper,2018,24500,SC,Manuelle,Diesel,130,25080,Benne origine,Non,Non,NA,Gruau,6,https://www.leboncoin.fr/utilitaires/1903544643.htm,Non,Oui,Oui,,
16/01/2020,27,Renault,Master,2015,152044,SC,Manuelle,Diesel,125,15960,Benne origine,Oui,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1911857247.htm,Non,Oui,Oui,,
16/01/2020,64,Mitsubishi,Canter,2007,124144,SC,Manuelle,Diesel,125,16800,Benne origine,Non,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1564408635.htm,Non,Non,Non,,
17/01/2020,50,Peugeot,Boxer,2018,18400,SC,Manuelle,Diesel,130,24980,Benne origine,Non,Non,NA,NA,12,https://www.leboncoin.fr/utilitaires/1874715748.htm,Non,Non,Oui,,
18/01/2020,32,Fiat,Ducato,2017,43941,SC,Manuelle,Diesel,130,25200,Benne origine,Non,Non,NA,NA,12,https://www.leboncoin.fr/utilitaires/1879535427.htm,Non,Non,Non,,
18/01/2020,31,Iveco,Daily,2011,154000,SC,Manuelle,Diesel,150,14400,Benne origine,Oui,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1909096352.htm,Non,Non,Non,,
18/01/2020,13,Mercedes,Sprinter,2001,171000,SC,Manuelle,Diesel,130,14400,Benne origine,Non,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1912870795.htm,Non,Non,Non,,
18/01/2020,77,Iveco,Daily,2010,230000,SC,Manuelle,Diesel,126,12500,Benne origine,Oui,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1912866769.htm,Non,Non,Non,,
18/01/2020,31,Ford,Transit,2015,160000,SC,Manuelle,Diesel,155,15000,Benne origine,Oui,Oui,NA,NA,0,https://www.leboncoin.fr/utilitaires/1912850078.htm,Non,Non,Non,,
18/01/2020,57,Fiat,Ducato,2015,74000,SC,Manuelle,Diesel,130,16900,Benne origine,Non,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1912829115.htm,Non,Non,Non,,
18/01/2020,35,Mercedes,Sprinter,2010,169000,SC,Manuelle,Diesel,136,8280,Benne origine,Non,Oui,NA,JPM,0,https://www.leboncoin.fr/utilitaires/1912790916.htm,Oui,Oui,Oui,,
18/01/2020,12,Fiat,Ducato,2015,111200,SC,Manuelle,Diesel,130,19560,Benne origine,Non,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1898792032.htm,Non,Non,Non,,
18/01/2020,64,Renault,Master,2005,119216,SC,Manuelle,Diesel,120,16200,Benne origine,Non,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1871560939.htm,Non,Non,Non,,
18/01/2020,8,Fiat,Ducato,2007,85000,SC,Manuelle,Diesel,160,10000,Benne origine,Oui,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1912709723.htm,Oui,Oui,Oui,,
18/01/2020,78,Iveco,Daily,2010,161000,SC,Manuelle,Diesel,180,16000,Benne origine,Non,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1912666956.htm,Oui,Oui,Oui,,
18/01/2020,31,Mercedes,Sprinter,2017,85000,SC,Manuelle,Diesel,143,24000,Benne origine,Oui,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1912619111.htm,Non,Non,Non,,
18/01/2020,59,Peugeot,Boxer,2011,45966,SC,Manuelle,Diesel,130,16500,Benne origine,Non,Oui,NA,Gruau,0,https://www.leboncoin.fr/utilitaires/1912604346.htm,Oui,Oui,Oui,,
18/01/2020,92,Mercedes,Sprinter,2005,145267,SC,Manuelle,Diesel,82,6900,Benne origine,Non,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1912582360.htm,Oui,Oui,Oui,,
18/01/2020,22,Iveco,Daily,2010,137549,SC,Manuelle,Diesel,90,12500,Benne origine,Non,Oui,NA,NA,0,https://www.leboncoin.fr/utilitaires/1912555690.htm,Non,Non,Non,,
18/01/2020,28,Fiat,Ducato,2016,94000,SC,Manuelle,Diesel,150,18500,Benne origine,Oui,Oui,NA,NA,0,https://www.leboncoin.fr/utilitaires/1918466047.htm?ac=206978287,Non,Non,Non,Oui,
18/01/2020,77,Iveco,Daily,2017,32500,SC,Manuelle,Diesel,140,27360,Benne origine,Non,Non,NA,JPM,0,https://www.leboncoin.fr/utilitaires/1913087154.htm,Non,Non,Non,,
18/01/2020,17,Renault,Maxity,2017,53700,SC,Manuelle,Diesel,140,22320,Benne origine,Oui,Non,NA,JPM,3,https://www.leboncoin.fr/utilitaires/1913080368.htm,Non,Non,Oui,,
18/01/2020,94,Fiat,Ducato,2016,35000,SC,Manuelle,Diesel,130,17850,Benne origine,Non,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1914789411.htm?ac=206978287,Non,Non,Oui,,
18/01/2020,29,Mercedes,Sprinter,2016,57200,SC,Manuelle,Diesel,130,27480,Benne origine,Non,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1904822346.htm,Non,Non,Non,,
